Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Newcastle United,St James' Park,Newcastle upon Tyne,52387,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,52387,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39732,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,39732,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Tottenham Hotspur,White Hart Lane,London (Tottenham),36240,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,36240,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),35647,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,35647,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26074,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,26074,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Arsenal Stadium,London (Highbury),38419,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,42573,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,42573,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Charlton Athletic,The Valley,London (Charlton),20043,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,20043,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Chelsea,Stamford Bridge,London (Fulham),42055,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,42055,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Derby County,Pride Park Stadium,Derby,33597,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,33597,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Everton,Goodison Park,Liverpool (Walton),40569,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,40569,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,40242,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,40242,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),45522,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,45522,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester United,Old Trafford,Manchester,68174,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,68174,Manchester,"Old Trafford, Manchester, England",Old Trafford (Manchester United) — Manchester
Middlesbrough,Riverside Stadium,Middlesbrough,30000,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,30000,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Newcastle United,St James' Park,Newcastle upon Tyne,52387,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,52387,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Nottingham Forest,City Ground,West Bridgford,30445,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,30445,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39732,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,39732,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Tottenham Hotspur,White Hart Lane,London (Tottenham),36240,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,36240,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),35647,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,35647,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26074,1998–99,1,England,https://en.wikipedia.org/wiki/1998–99_FA_Premier_League,26074,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Arsenal Stadium,London (Highbury),38419,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,42573,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,42573,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Bradford City,Valley Parade,Bradford,25136,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Chelsea,Stamford Bridge,London (Fulham),42055,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,42055,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Derby County,Pride Park Stadium,Derby,33597,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,33597,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Everton,Goodison Park,Liverpool (Walton),40569,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,40569,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,40242,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,40242,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),45522,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,45522,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester United,Old Trafford,Manchester,68174,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,68174,Manchester,"Old Trafford, Manchester, England",Old Trafford (Manchester United) — Manchester
Middlesbrough,Riverside Stadium,Middlesbrough,35049,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,35049,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Newcastle United,St James' Park,Newcastle upon Tyne,52387,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,52387,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39732,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,39732,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Sunderland,Stadium of Light,Sunderland,49000,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Tottenham Hotspur,White Hart Lane,London (Tottenham),36240,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,36240,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
Watford,Vicarage Road,Watford,19920,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,19920,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
West Ham United,Boleyn Ground,London (Upton Park),35647,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,35647,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26074,1999–00,1,England,https://en.wikipedia.org/wiki/1999–00_FA_Premier_League,26074,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Arsenal Stadium,London (Highbury),38419,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,42573,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,42573,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Bradford City,Valley Parade,Bradford,25136,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Charlton Athletic,The Valley,London (Charlton),20043,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,20043,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Chelsea,Stamford Bridge,London (Fulham),42055,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,42055,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Derby County,Pride Park Stadium,Derby,33597,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,33597,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Everton,Goodison Park,Liverpool (Walton),40569,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,40569,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Ipswich Town,Portman Road,Ipswich,30300,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,30300,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leeds United,Elland Road,Leeds,40242,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,40242,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),45522,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,45522,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,Maine Road,Manchester (Moss Side),35150,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,35150,Manchester (Moss Side),"Maine Road, Manchester (Moss Side), England",Maine Road (Manchester City) — Manchester (Moss Side)
Manchester United,Old Trafford,Manchester (Old Trafford),68174,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,68174,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Middlesbrough,Riverside Stadium,Middlesbrough,35049,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,35049,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Newcastle United,St James' Park,Newcastle upon Tyne,52387,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,52387,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Southampton,The Dell,Southampton,15200,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Sunderland,Stadium of Light,Sunderland,49000,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Tottenham Hotspur,White Hart Lane,London (Tottenham),36240,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,36240,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),35647,2000–01,1,England,https://en.wikipedia.org/wiki/2000–01_FA_Premier_League,35647,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Arsenal,Arsenal Stadium,London (Highbury),38419,2001–02,1,England,https://en.wikipedia.org/wiki/2001–02_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,42573,2001–02,1,England,https://en.wikipedia.org/wiki/2001–02_FA_Premier_League,42573,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,2001–02,1,England,https://en.wikipedia.org/wiki/2001–02_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Bolton Wanderers,Reebok Stadium,Bolton,28723,2001–02,1,England,https://en.wikipedia.org/wiki/2001–02_FA_Premier_League,28723,Bolton,"Reebok Stadium, Bolton, England",Reebok Stadium (Bolton Wanderers) — Bolton
Charlton Athletic,The Valley,London (Charlton),27111,2001–02,1,England,https://en.wikipedia.org/wiki/2001–02_FA_Premier_League,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
